== verify-plan P5-loop  (2026-09-23 15:08) ==
PASS  존재: docs/wiki/packages/P5-loop/01-plan.md
FAIL  없음: docs/wiki/packages/P5-loop/02-plan-verify.md
PASS  카드 존재: D1
PASS  카드 존재: D11
PASS  카드 존재: D12
PASS  카드 존재: D13
PASS  카드 존재: D2
PASS  카드 존재: D6
PASS  패키지 id 등록됨: P2-tools
PASS  패키지 id 등록됨: P3-er
PASS  패키지 id 등록됨: P5-loop
PASS  패키지 id 등록됨: P6-briefing
PASS  패키지 id 등록됨: P6-memory
PASS  검증 항목 존재: R10
PASS  검증 항목 존재: R6
PASS  검증 항목 존재: R7
FAIL  작업 단위(- [ ] U1 …)가 없다
PASS  backlog 일치: [ ] [backend-agent] 에이전트 루프(인식→해석→�
FAIL  backlog 에 같은 문장이 없다: "**에이전트 루프(인식→해석→기록→응답)**"
FAIL  backlog 에 같은 문장이 없다: "**발화 →**" → 입력은 `POST /chat` 요청 본문의
FAIL  backlog 에 같은 문장이 없다: "**툴 선택**" → 그 턴의 `agent_traces` 에 `tool_nam
FAIL  backlog 에 같은 문장이 없다: "**저장**" → 같은 요청 안에서 `events`(또는 `sc
FAIL  backlog 에 같은 문장이 없다: "**응답**" → `ChatOut.reply` 가 비어 있지 않고, �
FAIL  backlog 에 같은 문장이 없다: "**API 한 흐름으로 동작**" → 위 넷이 **HTTP 요�
FAIL  backlog 에 같은 문장이 없다: "**`POST /answers/{question_id}`로 루프 재개**" → 그
FAIL  backlog 에 같은 문장이 없다: "**의존: … P4b 게이트 통과**" → `docs/wiki/packag
FAIL  backlog 에 같은 문장이 없다: 덧붙여, 이 패키지가 **닫는다고 선언한 R6·R7*
FAIL  P4 게이트 미통과: P5 이후는 P4-pilot-eval 완료 전에 시작할 수 없다
PASS  registry 중복 없음: app/agent/__init__.py
PASS  registry 중복 없음: app/agent/types.py
PASS  registry 중복 없음: app/agent/extract.py
WARN  registry 에 다른 패키지로 이미 있음: app/er/judge.py → | 모듈 | LLM 판정(3단계, 공급자 중립) | app/er/judge.py | P3-er | b1f
PASS  registry 중복 없음: app/agent/loop.py
PASS  registry 중복 없음: app/agent/respond.py
PASS  registry 중복 없음: tests/test_agent_extract.py
PASS  registry 중복 없음: tests/test_agent_loop.py
PASS  registry 중복 없음: tests/test_agent_resume.py
PASS  registry 중복 없음: tests/test_api_chat.py
WARN  registry 에 다른 패키지로 이미 있음: app/api/routes.py → | 엔드포인트 | GET /health · POST /answers/{id} | app/api/routes.py | P2-t
WARN  registry 에 다른 패키지로 이미 있음: app/api/schemas.py → | 엔드포인트 | API 요청/응답 스키마 | app/api/schemas.py | P2-tools 
WARN  registry 에 다른 패키지로 이미 있음: app/api/deps.py → | 엔드포인트 | 요청 단위 세션·ToolContext 조립 | app/api/deps.py |
WARN  registry 에 다른 패키지로 이미 있음: app/settings.py → | 모듈 | 런타임 설정값 | app/settings.py | P2-tools | f217190 | `app_use
WARN  registry 에 다른 패키지로 이미 있음: tests/test_api.py → | 테스트 | HTTP: /health·/answers 200/404/409/422 | tests/test_api.py | P2-t
PASS  registry 중복 없음: docs/wiki/registry.md
WARN  registry 에 다른 패키지로 이미 있음: README.md → | 문서 | 프로젝트 README(전체 소개·스택·진행 상태·하네스·
| 문서 | 사용자 카드 10 파일럿 평가 실 실행(환경변수 이름·
| 문서 | FIX-001 main 병합(갈라진 배포 브랜치를 dev 로 되돌린�
== 결과: FAIL=12 WARN=7 ==
